Januray,12,,,,,,,,,,,,,,,,,,,,,,,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease,
,,,,,,,,,,,,,,,,,,,,,,,,,,676264,358312,,0,4760548,42078,295617,70363,,,,0,4760548,42078
,,,,,,,,,,,,,,,,,,,,,,,,,,671019,349833,,0,4718470,14430,290944,68552,,,,0,4718470,14430
,,,,,,,,,,,,,,,,,,,,,,,,,,669182,344845,,0,4704040,21173,288928,67839,,,,0,4704040,21173
,,,,,,,,,,,,,,,,,,,,,,,,,,666361,338343,,0,4682867,37191,280434,67137,,,,0,4682867,37191
,,,,,,,,,,,,,,,,,,,,,,,,,,661709,331668,,0,4645676,38889,276849,65737,,,,0,4645676,38889
,,,,,,,,,,,,,,,,,,,,,,,,,,656891,323804,,0,4606787,41217,276849,64236,,,,0,4606787,41217
,,,,,,,,,,,,,,,,,,,,,,,,,,651967,315652,,0,4565570,50225,268978,62531,,,,0,4565570,50225
,,,,,,,,,,,,,,,,,,,,,,,,,,645987,306262,,0,4515345,53999,258494,60672,,,,0,4515345,53999
,,,,,,,,,,,,,,,,,,,,,,,,,,639157,297422,,0,4461346,15583,243777,58821,,,,0,4461346,15583
,,,,,,,,,,,,,,,,,,,,,,,,,,637015,282604,,0,4445763,20123,242251,57988,,,,0,4445763,20123
,,,,,,,,,,,,,,,,,,,,,,,,,,634076,282604,,0,4425640,46798,242251,57141,,,,0,4425640,46798
,,,,,,,,,,,,,,,,,,,,,,,,,,627128,273191,,0,4378842,53091,241518,55473,,,,0,4378842,53091
,,,,,,,,,,,,,,,,,,,,,,,,,,619790,260542,,0,4325751,56368,239566,53809,,,,0,4325751,56368
,,,,,,,,,,,,,,,,,,,,,,,,,,611266,251346,,0,4269383,54599,237895,51819,,,,0,4269383,54599
,,,,,,,,,,,,,,,,,,,,,,,,,,603167,244449,,0,4214784,59953,237895,49956,,,,0,4214784,59953
,,,,,,,,,,,,,,,,,,,,,,,,,,593896,229107,,0,4154831,15813,235797,47788,,,,0,4154831,15813
,,,,,,,,,,,,,,,,,,,,,,,,,,591218,229107,,0,4139018,22614,234534,47065,,,,0,4139018,22614
,,,,,,,,,,,,,,,,,,,,,,,,,,587592,221510,,0,4116404,61099,233410,46285,,,,0,4116404,61099
,,,,,,,,,,,,,,,,,,,,,,,,,,577854,212216,,0,4055305,65759,233139,44448,,,,0,4055305,65759
,,,,,,,,,,,,,,,,,,,,,,,,,,567204,203826,,0,3989546,61794,232021,42653,,,,0,3989546,61794
,,,,,,,,,,,,,,,,,,,,,,,,,,557438,195315,,0,3927752,64102,227696,40778,,,,0,3927752,64102
,,,,,,,,,,,,,,,,,,,,,,,,,,546991,186529,,0,3863650,68310,226323,38804,,,,0,3863650,68310
,,,,,,,,,,,,,,,,,,,,,,,,,,534477,177871,,0,3795340,21330,223303,36603,,,,0,3795340,21330
,,,,,,,,,,,,,,,,,,,,,,,,,,530494,172936,,0,3774010,37156,221259,35788,,,,0,3774010,37156
,,,,,,,,,,,,,,,,,,,,,,,,,,523803,169581,,0,3736854,67029,224935,34835,,,,0,3736854,67029
,,,,,,,,,,,,,,,,,,,,,,,,,,512180,162191,,0,3669825,76811,224781,33004,,,,0,3669825,76811
,,,,,,,,,,,,,,,,,,,,,,,,,,498756,155937,,0,3593014,84292,224433,31233,,,,0,3593014,84292
,,,,,,,,,,,,,,,,,,,,,,,,,,484441,149276,,0,3508722,93615,222342,29393,,,,0,3508722,93615
,,,,,,,,,,,,,,,,,,,,,,,,,,468089,142398,,0,3415107,87258,222123,27410,,,,0,3415107,87258
,,,,,,,,,,,,,,,,,,,,,,,,,,451588,136419,,0,3327849,31418,217734,25258,,,,0,3327849,31418
,,,,,,,,,,,,,,,,,,,,,,,,,,445560,132638,,0,3296431,48145,217536,24416,,,,0,3296431,48145
,,,,,,,,,,,,,,,,,,,,,,,,,,436458,127880,,0,3248286,86577,214872,23537,,,,0,3248286,86577
,,,,,,,,,,,,,,,,,,,,,,,,,,420961,122996,,0,3161709,91404,214114,21750,,,,0,3161709,91404
,,,,,,,,,,,,,,,,,,,,,,,,,,404239,118326,,0,3070305,93998,213728,20047,,,,0,3070305,93998
,,,,,,,,,,,,,,,,,,,,,,,,,,385981,113284,,0,2976307,92285,212321,18430,,,,0,2976307,92285
,,,,,,,,,,,,,,,,,,,,,,,,,,367848,108485,,0,2884022,84843,210574,16999,,,,0,2884022,84843
,,,,,,,,,,,,,,,,,,,,,,,,,,349745,103782,,0,2799179,32581,207980,15791,,,,0,2799179,32581
,,,,,,,,,,,,,,,,,,,,,,,,,,342235,100843,,0,2766598,21121,204641,15223,,,,0,2766598,21121
,,,,,,,,,,,,,,,,,,,,,,,,,,337299,97430,,0,2745477,60827,201782,14754,,,,0,2745477,60827
,,,,,,,,,,,,,,,,,,,,,,,,,,324612,93572,,0,2684650,86170,199041,14053,,,,0,2684650,86170
,,,,,,,,,,,,,,,,,,,,,,,,,,307806,90720,,0,2598480,85103,198745,13013,,,,0,2598480,85103
,,,,,,,,,,,,,,,,,,,,,,,,,,290850,87556,,0,2513377,95012,197088,12058,,,,0,2513377,95012
,,,,,,,,,,,,,,,,,,,,,,,,,,272296,84818,,0,2418365,91085,192657,11113,,,,0,2418365,91085
,,,,,,,,,,,,,,,,,,,,,,,,,,254258,81335,,0,2327280,30546,187535,10346,,,,0,2327280,30546
,,,,,,,,,,,,,,,,,,,,,,,,,,247586,79974,,0,2296734,48975,184398,9872,,,,0,2296734,48975
,,,,,,,,,,,,,,,,,,,,,,,,,,237339,78248,,0,2247759,86143,180835,9321,,,,0,2247759,86143
,,,,,,,,,,,,,,,,,,,,,,,,,,221863,76282,,0,2161616,77860,177863,8490,,,,0,2161616,77860
,,,,,,,,,,,,,,,,,,,,,,,,,,207327,74496,,0,2083756,72894,176697,7673,,,,0,2083756,72894
,,,,,,,,,,,,,,,,,,,,,,,,,,193924,72898,,0,2010862,63690,175384,6722,,,,0,2010862,63690
,,,,,,,,,,,,,,,,,,,,,,,,,,182161,70714,,0,1947172,47285,170411,5811,,,,0,1947172,47285
,,,,,,,,,,,,,,,,,,,,,,,,,,173856,69190,,0,1899887,16992,166168,5043,,,,0,1899887,16992
,,,,,,,,,,,,,,,,,,,,,,,,,,170508,68499,,0,1882895,30710,163944,4481,,,,0,1882895,30710
,,,,,,,,,,,,,,,,,,,,,,,,,,165047,67096,,0,1852185,50348,159453,3869,,,,0,1852185,50348
,,,,,,,,,,,,,,,,,,,,,,,,,,156829,65329,,0,1801837,44962,153011,3116,,,,0,1801837,44962
,,,,,,,,,,,,,,,,,,,,,,,,,,149615,63812,,0,1756875,50012,152796,2475,,,,0,1756875,50012
,,,,,,,,,,,,,,,,,,,,,,,,,,142013,62368,,0,1706863,52643,152796,1971,,,,0,1706863,52643
,,,,,,,,,,,,,,,,,,,,,,,,,,135057,60681,,0,1654220,43642,150573,1757,,,,0,1654220,43642
,,,,,,,,,,,,,,,,,,,,,,,,,,128779,59089,,0,1610578,14922,149090,1544,,,,0,1610578,14922
,,,,,,,,,,,,,,,,,,,,,,,,,,126327,58341,,0,1595656,23965,146967,1391,,,,0,1595656,23965
,,,,,,,,,,,,,,,,,,,,,,,,,,122603,56535,,0,1571691,40707,144050,1205,,,,0,1571691,40707
,,,,,,,,,,,,,,,,,,,,,,,,,,117638,55258,,0,1530984,42643,143174,963,,,,0,1530984,42643
,,,,,,,,,,,,,,,,,,,,,,,,,,112525,54096,,0,1488341,40902,142573,758,,,,0,1488341,40902
,,,,,,,,,,,,,,,,,,,,,,,,,,108133,52449,,0,1447439,34957,140962,618,,,,0,1447439,34957
,,,,,,,,,,,,,,,,,,,,,,,,,,104940,51140,,0,1412482,29928,138784,502,,,,0,1412482,29928
,,,,,,,,,,,,,,,,,,,,,,,,,,102617,49758,,0,1382554,9999,118509,453,,,,0,1382554,9999
,,,,,,,,,,,,,,,,,,,,,,,,,,101818,49758,,0,1372555,15233,118509,425,,,,0,1372555,15233
,,,,,,,,,,,,,,,,,,,,,,,,,,100738,48895,,0,1357322,27138,115910,394,,,,0,1357322,27138
,,,,,,,,,,,,,,,,,,,,,,,,,,98909,47865,,0,1330184,42713,113372,366,,,,0,1330184,42713
,,,,,,,,,,,,,,,,,,,,,,,,,,95954,46799,,0,1287471,38322,112313,329,,,,0,1287471,38322
,,,,,,,,,,,,,,,,,,,,,,,,,,93695,45858,,0,1249149,42837,110506,293,,,,0,1249149,42837
,,,,,,,,,,,,,,,,,,,,,,,,,,90855,44517,,0,1206312,34283,107452,227,,,,0,1206312,34283
,,,,,,,,,,,,,,,,,,,,,,,,,,88332,43338,,0,1172029,15911,103460,185,,,,0,1172029,15911
,,,,,,,,,,,,,,,,,,,,,,,,,,87508,42423,,0,1156118,19647,102928,168,,,,0,1156118,19647
,,,,,,,,,,,,,,,,,,,,,,,,,,86154,40068,,0,1136471,39847,98932,154,,,,0,1136471,39847
,,,,,,,,,,,,,,,,,,,,,,,,,,83984,40068,,0,1096624,34685,96719,115,,,,0,1096624,34685
,,,,,,,,,,,,,,,,,,,,,,,,,,81893,38905,,0,1061939,38986,88643,89,,,,0,1061939,38986
,,,,,,,,,,,,,,,,,,,,,,,,,,79538,37626,,0,1022953,41047,87565,62,,,,0,1022953,41047
,,,,,,,,,,,,,,,,,,,,,,,,,,76789,36375,,0,981906,16093,84841,29,,,,0,981906,16093
,,,,,,,,,,,,,,,,,,,,,,,,,,75779,35292,,0,965813,24893,80700,,,,,0,965813,24893
,,,,,,,,,,,,,,,,,,,,,,,,,,73832,33385,,0,940920,22461,71731,,,,,0,940920,22461
,,,,,,,,,,,,,,,,,,,,,,,,,,72543,32277,,0,918459,44864,60252,,,,,0,918459,44864
,,,,,,,,,,,,,,,,,,,,,,,,,,70288,31223,,0,873595,35232,49313,,,,,0,873595,35232
,,,,,,,,,,,,,,,,,,,,,,,,,,68369,30341,,0,838363,33366,60252,,,,,0,838363,33366
,,,,,,,,,,,,,,,,,,,,,,,,,,66586,30341,,0,804997,33843,49313,,,,,0,804997,33843
,,,,,,,,,,,,,,,,,,,,,,,,,,64658,29359,,0,771154,36943,44791,,,,,0,771154,36943
,,,,,,,,,,,,,,,,,,,,,,,,,,61814,28371,,0,734211,11780,43168,,,,,0,734211,11780
,,,,,,,,,,,,,,,,,,,,,,,,,,60946,27570,,0,722431,14062,42921,,,,,0,722431,14062
,,,,,,,,,,,,,,,,,,,,,,,,,,60063,26601,,0,708369,26722,39732,,,,,0,708369,26722
,,,,,,,,,,,,,,,,,,,,,,,,,,58262,25454,,0,681647,25172,36362,,,,,0,681647,25172
,,,,,,,,,,,,,,,,,,,,,,,,,,56494,24487,,0,656475,27227,35971,,,,,0,656475,27227
,,,,,,,,,,,,,,,,,,,,,,,,,,54739,23519,,0,629248,25752,30655,,,,,0,629248,25752
,,,,,,,,,,,,,,,,,,,,,,,,,,53175,22674,,0,603496,24713,,,,,,0,603496,24713
,,,,,,,,,,,,,,,,,,,,,,,,,,51389,21713,,0,578783,6107,,,,,,0,578783,6107
,,,,,,,,,,,,,,,,,,,,,,,,,,50981,21022,,0,572676,12667,,,,,,0,572676,12667
,,,,,,,,,,,,,,,,,,,,,,,,,,49966,20141,,0,560009,23019,,,,,,0,560009,23019
,,,,,,,,,,,,,,,,,,,,,,,,,,48434,19197,,0,536990,23354,,,,,,0,536990,23354
,,,,,,,,,,,,,,,,,,,,,,,,,,46699,18440,,0,513636,22428,,,,,,0,513636,22428
,,,,,,,,,,,,,,,,,,,,,,,,,,45165,17622,,0,491208,22474,,,,,,0,491208,22474
,,,,,,,,,,,,,,,,,,,,,,,,,,43683,16791,,0,468734,23939,,,,,,0,468734,23939
,,,,,,,,,,,,,,,,,,,,,,,,,,41855,16090,,0,444795,6756,,,,,,0,444795,6756
,,,,,,,,,,,,,,,,,,,,,,,,,,41313,15544,,0,438039,10860,,,,,,0,438039,10860
,,,,,,,,,,,,,,,,,,,,,,,,,,40528,14891,,0,427179,20131,,,,,,0,427179,20131
,,,,,,,,,,,,,,,,,,,,,,,,,,39084,14122,,0,407048,20039,,,,,,0,407048,20039
,,,,,,,,,,,,,,,,,,,,,,,,,,37630,13353,,0,387009,19888,,,,,,0,387009,19888
,,,,,,,,,,,,,,,,,,,,,,,,,,36080,12507,,0,367121,17392,,,,,,0,367121,17392
,,,,,,,,,,,,,,,,,,,,,,,,,,34662,11786,,0,349729,17581,,,,,,0,349729,17581
,,,,,,,,,,,,,,,,,,,,,,,,,,33166,11170,,0,332148,5635,,,,,,0,332148,5635
,,,,,,,,,,,,,,,,,,,,,,,,,,32716,10763,,0,326513,7951,,,,,,0,326513,7951
,,,,,,,,,,,,,,,,,,,,,,,,,,32051,9986,,0,318562,15742,,,,,,0,318562,15742
,,,,,,,,,,,,,,,,,,,,,,,,,,30597,9156,,0,302820,14759,,,,,,0,302820,14759
,,,,,,,,,,,,,,,,,,,,,,,,,,29283,8025,,0,288061,12269,,,,,,0,288061,12269
,,,,,,,,,,,,,,,,,,,,,,,,,,28133,7341,,0,275792,12833,,,,,,0,275792,12833
,,,,,,,,,,,,,,,,,,,,,,,,,,26963,6486,,0,262959,13767,,,,,,0,262959,13767
,,,,,,,,,,,,,,,,,,,,,,,,,,25388,5706,,0,249192,3362,,,,,,0,249192,3362
,,,,,,,,,,,,,,,,,,,,,,,,,,25049,5334,,0,245830,6314,,,,,,0,245830,6314
,,,,,,,,,,,,,,,,,,,,,,,,,,24534,4806,,0,239516,12853,,,,,,0,239516,12853
,,,,,,,,,,,,,,,,,,,,,,,,,,23484,4190,,0,226663,12647,,,,,,0,226663,12647
,,,,,,,,,,,,,,,,,,,,,,,,,,22402,3677,,0,214016,11742,,,,,,0,214016,11742
,,,,,,,,,,,,,,,,,,,,,,,,,,21409,3150,,0,202274,9873,,,,,,0,202274,9873
,,,,,,,,,,,,,,,,,,,,,,,,,,20454,2580,,0,192401,9387,,,,,,0,192401,9387
,,,,,,,,,,,,,,,,,,,,,,,,,,19242,2269,,0,183014,2183,,,,,,0,183014,2183
,,,,,,,,,,,,,,,,,,,,,,,,,,18974,2014,,0,180831,4374,,,,,,0,180831,4374
,,,,,,,,,,,,,,,,,,,,,,,,,,18484,1617,,0,176457,10316,,,,,,0,176457,10316
,,,,,,,,,,,,,,,,,,,,,,,,,,17430,1366,,0,166141,10016,,,,,,0,166141,10016
,,,,,,,,,,,,,,,,,,,,,,,,,,16406,1101,,0,156125,9648,,,,,,0,156125,9648
,,,,,,,,,,,,,,,,,,,,,,,,,,15378,38,,0,146477,10774,,,,,,0,146477,10774
,,,,,,,,,,,,,,,,,,,,,,,,,,14319,38,,0,135703,10135,,,,,,0,135703,10135
,,,,,,,,,,,,,,,,,,,,,,,,,,13274,38,,0,125568,6702,,,,,,0,125568,6702
,,,,,,,,,,,,,,,,,,,,,,,,,,12693,38,,0,118866,4925,,,,,,0,118866,4925
,,,,,,,,,,,,,,,,,,,,,,,,,,12043,38,,0,113941,9570,,,,,,0,113941,9570
,,,,,,,,,,,,,,,,,,,,,,,,,,11059,38,,0,104371,9067,,,,,,0,104371,9067
,,,,,,,,,,,,,,,,,,,,,,,,,,10054,38,,0,95304,8975,,,,,,0,95304,8975
,,,,,,,,,,,,,,,,,,,,,,,,,,9091,38,,0,86329,8109,,,,,,0,86329,8109
,,,,,,,,,,,,,,,,,,,,,,,,,,8249,38,,0,78220,7427,,,,,,0,78220,7427
,,,,,,,,,,,,,,,,,,,,,,,,,,7387,38,,0,70793,2805,,,,,,0,70793,2805
,,,,,,,,,,,,,,,,,,,,,,,,,,6974,,,0,67988,3842,,,,,,0,67988,3842
,,,,,,,,,,,,,,,,,,,,,,,,,,6498,,,0,64146,8295,,,,,,0,64146,8295
,,,,,,,,,,,,,,,,,,,,,,,,,,5586,,,0,55851,7205,,,,,,0,55851,7205
,,,,,,,,,,,,,,,,,,,,,,,,,,4726,,,0,48646,6771,,,,,,0,48646,6771
,,,,,,,,,,,,,,,,,,,,,,,,,,3990,,,0,41875,6719,,,,,,0,41875,6719
,,,,,,,,,,,,,,,,,,,,,,,,,,3226,,,0,35156,6077,,,,,,0,35156,6077
,,,,,,,,,,,,,,,,,,,,,,,,,,2507,,,0,29079,1836,,,,,,0,29079,1836
,,,,,,,,,,,,,,,,,,,,,,,,,,2233,,,0,27243,2138,,,,,,0,27243,2138
,,,,,,,,,,,,,,,,,,,,,,,,,,1934,,,0,25105,4683,,,,,,0,25105,4683
,,,,,,,,,,,,,,,,,,,,,,,,,,1581,,,0,20422,4965,,,,,,0,20422,4965
,,,,,,,,,,,,,,,,,,,,,,,,,,1174,,,0,15457,4056,,,,,,0,15457,4056
,,,,,,,,,,,,,,,,,,,,,,,,,,867,,,0,11401,3299,,,,,,0,11401,3299
,,,,,,,,,,,,,,,,,,,,,,,,,,631,,,0,8102,2606,,,,,,0,8102,2606
,,,,,,,,,,,,,,,,,,,,,,,,,,430,,,0,5496,575,,,,,,0,5496,575
,,,,,,,,,,,,,,,,,,,,,,,,,,361,,,0,4921,530,,,,,,0,4921,530
,,,,,,,,,,,,,,,,,,,,,,,,,,302,,,0,4391,960,,,,,,0,4391,960
,,,,,,,,,,,,,,,,,,,,,,,,,,265,,,0,3431,655,,,,,,0,3431,655
,,,,,,,,,,,,,,,,,,,,,,,,,,239,,,0,2776,305,,,,,,0,2776,305
,,,,,,,,,,,,,,,,,,,,,,,,,,215,,,0,2471,135,,,,,,0,2471,135
,,,,,,,,,,,,,,,,,,,,,,,,,,209,,,0,2336,50,,,,,,0,2336,50
,,,,,,,,,,,,,,,,,,,,,,,,,,203,,,0,2286,18,,,,,,0,2286,18
,,,,,,,,,,,,,,,,,,,,,,,,,,202,,,0,2268,8,,,,,,0,2268,8
,,,,,,,,,,,,,,,,,,,,,,,,,,201,,,0,2260,24,,,,,,0,2260,24
,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,0,2236,1286,,,,,,0,2236,1286
,,,,,,,,,,,,,,,,,,,,,,,,,,124,,,0,950,930,,,,,,0,950,930
,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,0,20,14,,,,,,0,20,14
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,6,0,,,,,,0,6,6
