Januray,12,,,,,,,,,,,,,,,,,,,,,,,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease,
,,,,,,,,,,,,,,,,,,,,,,,,,,2117321,1711009,,0,15935036,57357,878299,1537217,,,,0,15935036,57357
,,,,,,,,,,,,,,,,,,,,,,,,,,2109723,1697272,,0,15877679,159658,877677,1511420,,,,0,15877679,159658
,,,,,,,,,,,,,,,,,,,,,,,,,,2082241,1677588,,0,15718021,133767,872211,1504491,,,,0,15718021,133767
,,,,,,,,,,,,,,,,,,,,,,,,,,2060159,1666745,,0,15584254,140355,862717,1459365,,,,0,15584254,140355
,,,,,,,,,,,,,,,,,,,,,,,,,,2037868,1649735,,0,15443899,139440,858535,1443336,,,,0,15443899,139440
,,,,,,,,,,,,,,,,,,,,,,,,,,2013598,1630778,,0,15304459,125371,853435,1427906,,,,0,15304459,125371
,,,,,,,,,,,,,,,,,,,,,,,,,,1991275,1612188,,0,15179088,147557,850565,1404149,,,,0,15179088,147557
,,,,,,,,,,,,,,,,,,,,,,,,,,1965279,1595600,,0,15031531,92226,847195,1394289,,,,0,15031531,92226
,,,,,,,,,,,,,,,,,,,,,,,,,,1948046,1568710,,0,14939305,148261,843839,1365082,,,,0,14939305,148261
,,,,,,,,,,,,,,,,,,,,,,,,,,1918146,1558945,,0,14791044,137233,838680,1345957,,,,0,14791044,137233
,,,,,,,,,,,,,,,,,,,,,,,,,,1892758,1549210,,0,14653811,121068,836194,1326296,,,,0,14653811,121068
,,,,,,,,,,,,,,,,,,,,,,,,,,1866444,1536690,,0,14532743,86834,831020,1297609,,,,0,14532743,86834
,,,,,,,,,,,,,,,,,,,,,,,,,,1851122,1522105,,0,14445909,75756,826923,1293168,,,,0,14445909,75756
,,,,,,,,,,,,,,,,,,,,,,,,,,1835626,1504643,,0,14370153,80276,801027,1267667,,,,0,14370153,80276
,,,,,,,,,,,,,,,,,,,,,,,,,,1820127,1488189,,0,14289877,100710,798283,1257275,,,,0,14289877,100710
,,,,,,,,,,,,,,,,,,,,,,,,,,1799060,1464746,,0,14189167,135457,795422,1241302,,,,0,14189167,135457
,,,,,,,,,,,,,,,,,,,,,,,,,,1770143,1451846,,0,14053710,48073,792757,1210365,,,,0,14053710,48073
,,,,,,,,,,,,,,,,,,,,,,,,,,1759509,1443061,,0,14005637,156847,791133,1207649,,,,0,14005637,156847
,,,,,,,,,,,,,,,,,,,,,,,,,,1729239,1435164,,0,13848790,105811,785916,1198101,,,,0,13848790,105811
,,,,,,,,,,,,,,,,,,,,,,,,,,1709376,1423001,,0,13742979,81366,781869,1174394,,,,0,13742979,81366
,,,,,,,,,,,,,,,,,,,,,,,,,,1694131,1402336,,0,13661613,69846,701794,1157852,,,,0,13661613,69846
,,,,,,,,,,,,,,,,,,,,,,,,,,1680061,1387358,,0,13591767,75524,683203,1144302,,,,0,13591767,75524
,,,,,,,,,,,,,,,,,,,,,,,,,,1665082,1357576,,0,13516243,59907,680733,1129749,,,,0,13516243,59907
,,,,,,,,,,,,,,,,,,,,,,,,,,1653830,1346963,,0,13456336,88998,679419,1122377,,,,0,13456336,88998
,,,,,,,,,,,,,,,,,,,,,,,,,,1639161,1339447,,0,13367338,116767,672553,1114467,,,,0,13367338,116767
,,,,,,,,,,,,,,,,,,,,,,,,,,1620425,1332913,,0,13250571,113871,664120,1086179,,,,0,13250571,113871
,,,,,,,,,,,,,,,,,,,,,,,,,,1603396,1326975,,0,13136700,114845,658985,1070160,,,,0,13136700,114845
,,,,,,,,,,,,,,,,,,,,,,,,,,1584829,1311851,,0,13021855,73512,655566,1050963,,,,0,13021855,73512
,,,,,,,,,,,,,,,,,,,,,,,,,,1573424,1297294,,0,12948343,122643,653540,1040594,,,,0,12948343,122643
,,,,,,,,,,,,,,,,,,,,,,,,,,1555157,1279067,,0,12825700,144933,651053,1007059,,,,0,12825700,144933
,,,,,,,,,,,,,,,,,,,,,,,,,,1534139,1269014,,0,12680767,111257,646470,983430,,,,0,12680767,111257
,,,,,,,,,,,,,,,,,,,,,,,,,,1518230,1260984,,0,12569510,37166,640527,979007,,,,0,12569510,37166
,,,,,,,,,,,,,,,,,,,,,,,,,,1513343,1245339,,0,12532344,88332,639270,977880,,,,0,12532344,88332
,,,,,,,,,,,,,,,,,,,,,,,,,,1500558,1216415,,0,12444012,83703,627702,957887,,,,0,12444012,83703
,,,,,,,,,,,,,,,,,,,,,,,,,,1489316,1216415,,0,12360309,77097,624341,934936,,,,0,12360309,77097
,,,,,,,,,,,,,,,,,,,,,,,,,,1476519,1203398,,0,12283212,119269,621818,922161,,,,0,12283212,119269
,,,,,,,,,,,,,,,,,,,,,,,,,,1459163,1185628,,0,12163943,134931,619088,906429,,,,0,12163943,134931
,,,,,,,,,,,,,,,,,,,,,,,,,,1440979,1176377,,0,12029012,82689,613854,888741,,,,0,12029012,82689
,,,,,,,,,,,,,,,,,,,,,,,,,,1430692,1167975,,0,11946323,325,611326,863974,,,,0,11946323,325
,,,,,,,,,,,,,,,,,,,,,,,,,,1430675,1157334,,0,11945998,6683,606668,863863,,,,0,11945998,6683
,,,,,,,,,,,,,,,,,,,,,,,,,,1430071,1074579,,0,11939315,36008,601686,862971,,,,0,11939315,36008
,,,,,,,,,,,,,,,,,,,,,,,,,,1426497,1062398,,0,11903307,81405,598405,857323,,,,0,11903307,81405
,,,,,,,,,,,,,,,,,,,,,,,,,,1416631,1050416,,0,11821902,117293,595246,843177,,,,0,11821902,117293
,,,,,,,,,,,,,,,,,,,,,,,,,,1401774,1038806,,0,11704609,39810,593787,818716,,,,0,11704609,39810
,,,,,,,,,,,,,,,,,,,,,,,,,,1395225,1030716,,0,11664799,57786,590964,813338,,,,0,11664799,57786
,,,,,,,,,,,,,,,,,,,,,,,,,,1386252,1022297,,0,11607013,109458,587512,807829,,,,0,11607013,109458
,,,,,,,,,,,,,,,,,,,,,,,,,,1372627,1012700,,0,11497555,113648,583553,791698,,,,0,11497555,113648
,,,,,,,,,,,,,,,,,,,,,,,,,,1358324,1003141,,0,11383907,116376,578670,771879,,,,0,11383907,116376
,,,,,,,,,,,,,,,,,,,,,,,,,,1343301,993151,,0,11267531,121623,575536,756314,,,,0,11267531,121623
,,,,,,,,,,,,,,,,,,,,,,,,,,1327560,976517,,0,11145908,135034,573566,738089,,,,0,11145908,135034
,,,,,,,,,,,,,,,,,,,,,,,,,,1309102,962639,,0,11010874,45004,571451,712553,,,,0,11010874,45004
,,,,,,,,,,,,,,,,,,,,,,,,,,1301267,954465,,0,10965870,53232,570888,706818,,,,0,10965870,53232
,,,,,,,,,,,,,,,,,,,,,,,,,,1291811,950586,,0,10912638,71749,569242,701538,,,,0,10912638,71749
,,,,,,,,,,,,,,,,,,,,,,,,,,1280439,946663,,0,10840889,12642,563123,689889,,,,0,10840889,12642
,,,,,,,,,,,,,,,,,,,,,,,,,,1278643,943457,,0,10828247,114701,560010,687314,,,,0,10828247,114701
,,,,,,,,,,,,,,,,,,,,,,,,,,1264769,935011,,0,10713546,130734,556284,670565,,,,0,10713546,130734
,,,,,,,,,,,,,,,,,,,,,,,,,,1250838,927331,,0,10582812,147707,553956,654298,,,,0,10582812,147707
,,,,,,,,,,,,,,,,,,,,,,,,,,1235153,917739,,0,10435105,55174,552103,634477,,,,0,10435105,55174
,,,,,,,,,,,,,,,,,,,,,,,,,,1228284,913796,,0,10379931,75543,548439,630204,,,,0,10379931,75543
,,,,,,,,,,,,,,,,,,,,,,,,,,1219414,909137,,0,10304388,121313,545643,625778,,,,0,10304388,121313
,,,,,,,,,,,,,,,,,,,,,,,,,,1206044,901943,,0,10183075,119077,539765,613980,,,,0,10183075,119077
,,,,,,,,,,,,,,,,,,,,,,,,,,1192594,896191,,0,10063998,117113,535321,597184,,,,0,10063998,117113
,,,,,,,,,,,,,,,,,,,,,,,,,,1179363,889099,,0,9946885,116377,532113,585973,,,,0,9946885,116377
,,,,,,,,,,,,,,,,,,,,,,,,,,1166390,883223,,0,9830508,117494,530418,571848,,,,0,9830508,117494
,,,,,,,,,,,,,,,,,,,,,,,,,,1152103,875521,,0,9713014,38343,528417,553433,,,,0,9713014,38343
,,,,,,,,,,,,,,,,,,,,,,,,,,1146144,871784,,0,9674671,55561,528417,549925,,,,0,9674671,55561
,,,,,,,,,,,,,,,,,,,,,,,,,,1138098,861205,,0,9619110,96728,523180,546645,,,,0,9619110,96728
,,,,,,,,,,,,,,,,,,,,,,,,,,1126150,850648,,0,9522382,94206,519740,536610,,,,0,9522382,94206
,,,,,,,,,,,,,,,,,,,,,,,,,,1115259,838950,,0,9428176,96818,515698,523543,,,,0,9428176,96818
,,,,,,,,,,,,,,,,,,,,,,,,,,1103208,831800,,0,9331358,110242,514912,512685,,,,0,9331358,110242
,,,,,,,,,,,,,,,,,,,,,,,,,,1090190,826116,,0,9221116,115851,513192,499322,,,,0,9221116,115851
,,,,,,,,,,,,,,,,,,,,,,,,,,1075300,820156,,0,9105265,34656,511176,483220,,,,0,9105265,34656
,,,,,,,,,,,,,,,,,,,,,,,,,,1069577,820215,,0,9070609,51708,509011,479209,,,,0,9070609,51708
,,,,,,,,,,,,,,,,,,,,,,,,,,1061549,811330,,0,9018901,91063,506808,474486,,,,0,9018901,91063
,,,,,,,,,,,,,,,,,,,,,,,,,,1050102,807008,,0,8927838,95460,500132,462799,,,,0,8927838,95460
,,,,,,,,,,,,,,,,,,,,,,,,,,1038293,802611,,0,8832378,93783,500132,450761,,,,0,8832378,93783
,,,,,,,,,,,,,,,,,,,,,,,,,,1027079,797586,,0,8738595,96339,497255,441588,,,,0,8738595,96339
,,,,,,,,,,,,,,,,,,,,,,,,,,1016443,792286,,0,8642256,97290,491876,429996,,,,0,8642256,97290
